"crsp_fundno","caldt","alpha_ann","alpha_ann_lag","age_months_lag","manager_tenure_lag","tna_latest_lag","turn_ratio_lag","exp_ratio_lag","flow_ann_lag","flowvol_ann_lag","alpha_t_lag","mktrf_t_lag","smb_t_lag","hml_t_lag","rmw_t_lag","cma_t_lag","umd_t_lag","r2_lag","value_added_ann_lag"
2756,2004-12-31,-0.128794022239195,NA,42,2.91666666666667,5.5,2.51,0.016,1.21273648069257,0.284274259139354,0.806901401010634,3.3829428027154,1.13411148758406,1.12952149371036,-3.53104384089242,-1.75246266495192,2.19228323391206,0.789270283038792,NA
2837,2006-12-29,0.0469859924425763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2837,2007-12-31,0.00147717864101743,0.0469859924425763,62,NA,8.8,0.39,0.0128,0.62798512237954,0.313218755214736,1.95550793257151,4.26100964055801,1.0397917310447,-2.34016623585048,-2.39322682249735,0.277979161294164,0.726988523732693,0.838743860633208,0.26835129012731
2837,2008-12-31,0.0546708435139634,0.00147717864101743,74,NA,9,0.57,0.0142,-0.0525312325788307,0.0724712936781916,1.34352236983517,8.39248165720935,2.03868382187749,-1.94277917037911,-2.06151211217757,-1.01374505356883,-1.78888719940052,0.874486553170883,0.115096824306555
2837,2009-12-31,0.10945421639451,0.0546708435139634,86,NA,5.6,0.49,0.015,-0.0152268534326357,0.04021574884392,0.798107629736503,10.9313631338342,3.55972072292565,-2.17707621753377,-1.07427812766378,-0.740387146473021,-0.0187691494579458,0.933119792195874,0.641813943739395
3229,2004-12-31,-0.08371179257397,NA,37,3.91666666666667,25.7,1.41,0.0212,0.402487786288155,0.709493685587703,0.109331521261238,8.40193888973124,0.608289424334405,-2.3384002914157,-1.58646659425012,-1.06284522742228,1.00994469425935,0.929853836066181,NA
3230,2004-12-31,-0.0897624241481313,-0.121440367696432,46,3.91666666666667,40.3,1.41,0.0215,2.80851875450991,2.95916574694735,0.0384753821288309,8.38175531742864,0.659313304806667,-2.22944829993795,-1.55533599277662,-1.1170625786819,0.938937413908896,0.929542918340657,-2.57945472963141
3230,2005-12-30,-0.00376236542909272,-0.0897624241481313,58,4.91666666666667,32.7,0.92,0.0215,-0.232605124064679,0.0535712257697502,-0.395080864363014,6.89857159817371,-0.442410576443923,-1.03536336157234,-4.35615099829571,-0.260585824581034,1.73452332156293,0.913456106884497,-2.59318951256538
3230,2006-12-29,0.014665200189882,-0.00376236542909272,70,5.91666666666667,28,1.07,0.023,-0.150911952386716,0.107607038446856,-0.390133532990467,6.26201200069882,-0.17428833647936,-1.85327263255508,-3.4816350676786,0.642521585671208,2.69896699431581,0.891029613499278,0.470324233844807
3230,2007-12-31,-0.0941293102324368,0.014665200189882,82,6.91666666666667,23.2,1.26,0.0231,-0.267851361397723,0.0741998415558626,0.378771691478427,5.95779871322697,0.398814138698505,-3.01768255796936,-1.5254573327155,0.90305128663265,2.59925355131831,0.873192168731139,0.869181778874794
3230,2008-12-31,0.0699866851860813,-0.0941293102324368,94,0.916666666666667,20.9,0.42,0.023,-0.164378609794195,0.0559719063328935,-0.444896291835043,7.16579115374414,1.7990885089013,-2.7660097331232,-1.82504287404867,-0.431356962479795,0.474870338443674,0.850357938097862,-1.68979228160626
3230,2009-12-31,0.164420247624167,0.0699866851860813,106,0.916666666666667,9.5,0.68,0.023,-0.171916884839583,0.0386308289348292,0.159566413316017,9.60228048073329,2.95236171013494,-3.29881455953544,-1.52978327016219,-1.60825495910732,-0.024343098794074,0.924761670759595,1.71770748751631
3230,2010-12-31,-0.094490808020449,0.164420247624167,118,1.91666666666667,16.1,0.35,0.0241,0.0978101875405413,0.130455448564804,0.859989429205153,12.4428731245274,3.56043975967654,-4.52096913491744,-2.4937415362884,-0.206905641380146,0.270783067338102,0.927789155458989,2.26373399422943
3230,2011-12-30,0.00182887958304475,-0.094490808020449,130,2.91666666666667,19,0.42,0.023,-0.00393098941403958,0.0833213530477235,0.453807863459488,15.3177346585223,3.69847571257504,-4.01830090842702,-1.54321086181318,-0.8873378454344,0.809720291846168,0.942376669118126,-1.07966571363576
3230,2012-12-31,-0.0273196308485762,0.00182887958304475,142,3.91666666666667,24.8,0.48,0.023,0.402493734624744,0.474963399054383,0.707739373200482,10.0771005714927,2.46355602412002,-2.48233871785116,-1.3846956958327,0.510022897174198,-0.368709158116897,0.896355601938538,0.510551729770885
3230,2013-12-31,-0.0973017113950095,-0.0273196308485762,154,4.91666666666667,25.2,0.41,0.0227,-0.0624284082916776,0.0940061023590033,-0.249242215229422,10.3930277564531,1.62163061833668,-0.827641301790953,-0.12655721376933,-1.39216253462703,-0.477840710711195,0.904120123976349,-0.406650181923258
3230,2014-12-31,-0.0459716722692882,-0.0973017113950095,166,5.91666666666667,28.6,0.69,0.022,-0.0870475556428093,0.0179357770898027,-0.341610124241248,8.63072713315962,-0.173865618217043,-1.47141816924453,-2.11052088538183,-1.90911008965318,-1.61150737119681,0.895992308763678,-1.88911789468102
3230,2015-12-31,-0.0570144387204196,-0.0459716722692882,178,0.916666666666667,30,0.67,0.0215,-0.0463200024107428,0.0271059116563225,-1.15424978497724,10.0741438468531,-0.523792931160349,-1.67340397439304,-2.17886601016044,-2.61894649336812,-0.954718684254461,0.874329032618164,-0.747749494711173
3230,2016-12-30,-0.00661716486112624,-0.0570144387204196,190,1.91666666666667,32.6,0.46,0.0214,0.0269492039343761,0.0264990280777146,-1.17940094597006,10.8637872203875,-0.693052490293197,-1.65172726762321,-2.07381252923929,-1.31466798300652,-0.166017316417765,0.851824064582244,-1.20972217832303
3230,2017-12-29,-0.0327205213891239,-0.00661716486112624,202,2.91666666666667,26.6,0.49,0.0218,-0.184991437361583,0.0259565766983037,-0.826569630897743,12.1665126538358,-1.19536991368627,-1.9618203965572,-2.03496595778069,-2.55189596656583,-0.131098597797662,0.90592336473729,0.306623540867923
3230,2018-12-31,0.00421949749035918,-0.0327205213891239,214,3.91666666666667,35.1,0.47,0.0202,-0.0123767825959779,0.0285485106649956,-0.601147807244271,10.3659788850676,-1.17484834314449,-2.79847438800066,-2.22594052018925,-2.70869410763933,-0.562013892242882,0.891897338396268,-0.665842890085602
3230,2019-12-31,-0.0296451413666802,0.00421949749035918,226,4.91666666666667,38.7,0.48,0.0198,0.121919533342163,0.0544130051230384,-0.24489959358627,10.7373257344963,-1.80930301993431,-2.95139223841604,-3.41710647054072,-4.29089626813346,-0.456345956821442,0.92061890134119,0.826596700149439
3230,2020-12-31,0.0262339613642768,-0.0296451413666802,238,5.91666666666667,29.5,0.38,0.0194,-0.510822378983344,0.414083278301595,-0.451009110999499,10.7972458578514,-1.94628736990366,-1.23341521264546,-1.85331173126809,-3.04463809882065,-0.234817111317382,0.90902886572547,-0.311265006771789
3230,2021-12-31,-0.00988227436216256,0.0262339613642768,250,6.91666666666667,53.3,0.59,0.0184,0.266608055944609,0.187494378909265,0.0864834981410375,15.3377040626719,-0.0212652252319107,-2.03993756750568,0.162731202920885,-1.20963411584692,0.923906262160718,0.932463088317443,0.5956742060743
3230,2022-12-30,-0.147950927291695,-0.00988227436216256,262,7.91666666666667,53.8,0.95,0.0174,-0.114345034740181,0.0459403600343851,0.52409968523591,15.6365465880348,0.434140415520734,-3.27112411895409,0.29261526035685,-0.738562111267461,0.669818728156122,0.935506431770291,0.20923588040011
3230,2023-12-29,0.0700489078083321,-0.147950927291695,274,0.916666666666667,26.1,1.42,0.0188,-0.195190497581354,0.0216401174117517,-0.610121458598307,15.9601997728396,-0.136512787250018,-3.09220335643688,-0.556522693743169,-1.04523509338413,0.579694543536031,0.931609388418029,-4.10188486973446
3230,2024-12-31,-0.00791778799075874,0.0700489078083321,286,1.91666666666667,40.1,0.95,0.0182,0.0545480328921719,0.0489482592535261,0.0190878552875854,13.6031802995762,-0.908056845881731,-1.70404107612242,-1.77899299125759,-2.31547850887442,0.603682809112866,0.912769483168138,2.60178173118719
3230,2025-12-31,-0.053683363340757,-0.00791778799075874,298,2.91666666666667,53.3,1.34,0.0176,0.00242187509231639,0.037580702744194,-0.324586348396473,15.1689330071984,-2.3065802769537,-0.948679681163613,-3.34943921354963,-2.35844523570257,0.297710526641931,0.926900258611383,0.480038481729462
3231,2005-12-30,-0.0164384063365697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3231,2006-12-29,0.0151314925307621,-0.0164384063365697,45,3.91666666666667,79.8,1.07,0.023,-0.273835726545983,0.012623878331947,-0.404603635875073,6.30078065434541,-0.160657348652282,-1.85646769551515,-3.49069625719464,0.626674322607126,2.71141148630886,0.891838021040918,0.306565227985939
3231,2007-12-31,-0.094878908778954,0.0151314925307621,57,4.91666666666667,68.8,1.26,0.0231,-0.235061860167999,0.0156484399083383,0.371536110874949,5.98394447215502,0.409896589991803,-3.02743420796461,-1.51823615144927,0.895880156094362,2.61613076008902,0.87398160412515,2.6827970817706
3231,2008-12-31,0.0691518568443912,-0.094878908778954,69,0.916666666666667,55.9,0.42,0.023,-0.26869106204656,0.0401866480130747,-0.449386465019903,7.1768784997502,1.81843165590658,-2.77346975873356,-1.81409105973086,-0.440741158715158,0.482934025154213,0.850912304113678,-4.78390232766185
3231,2009-12-31,0.164295886704037,0.0691518568443912,81,0.916666666666667,18.2,0.68,0.023,-0.491162337577863,0.0712183760213627,0.161560196191572,9.58352805846512,2.96685199345489,-3.30126374672962,-1.53219224430677,-1.60775015575795,-0.0316259369733709,0.924646985427982,3.72641100582981
3231,2010-12-31,-0.0948612442289967,0.164295886704037,93,1.91666666666667,20.6,0.35,0.0241,-0.336393376590804,0.0645300963510264,0.85332276913451,12.4461825387521,3.56661590655872,-4.53237931375658,-2.49431592073858,-0.207200956067352,0.24655890821353,0.927937223543765,3.46758459062512
3231,2011-12-30,0.00211092353739037,-0.0948612442289967,105,2.91666666666667,17.5,0.42,0.023,-0.345750812528385,0.0341446144444461,0.442431565997578,15.32027532368,3.70515463830634,-4.0260142024787,-1.53301865183446,-0.875224412996934,0.791693386021302,0.942406882493041,-1.3264748486683
